id,first_name,last_name,user_name,off_day
3581324288086064,Ania,Pendry,apendry0,TUESDAY
3578623184252893,Wade,Ferreira,wferreira1,MONDAY
3536684881732604,Mellisa,Reason,mreason2,MONDAY
36447115717705,Britt,Coot,bcoot3,TUESDAY,FRIDAY
5602222181086423,Boris,Edwicker,bedwicker4,WEDNESDAY
3568490339703572,Spencer,Kruschev,skruschev5,THURSDAY
6706146965210162538,Andy,Muddle,amuddle6,MONDAY
3537422545459580,Ethelda,Josef,ejosef7,TUESDAY
3570677396684457,Dorolisa,Francesc,dfrancesc8,THURSDAY
490581904195154771,Garrard,Dixon,gdixon9,WEDNESDAY
3530837820313284,Robbin,Gapper,rgappera,MONDAY
374283883321804,Clint,Brockwell,cbrockwellb,THURSDAY
373481088370524,Christie,Enston,censtonc,TUESDAY
5610633349857770,Kelby,Alltimes,kalltimesd,WEDNESDAY
5602231944055740,Stace,Stopforth,sstopforthe,FRIDAY
3557479886413019,Hamil,Potkin,hpotkinf,TUESDAY
30522782119066,Vikki,Stoffel,vstoffelg,MONDAY
3554577993054866,Hillier,Boylan,hboylanh,FRIDAY
4041374319777134,Ailbert,Farnin,afarnini,THURSDAY
5641828012766836,Saxon,Tantrum,stantrumj,WEDNESDAY
3552847250643657,Nell,Southard,nsouthardk,FRIDAY
3559689081949249,Darn,Glenfield,dglenfieldl,FRIDAY
3542406852232808,Jessika,Seamen,jseamenm,WEDNESDAY
50380537488405545,Willi,Cole,wcolen,TUESDAY
6304099069719914,Emlen,Celes,eceleso,MONDAY
6331104379403972,Gianni,Christofe,gchristofep,FRIDAY
5602228728981661,Billie,Yitshak,byitshakq,MONDAY
3535564279199841,Rici,Lillgard,rlillgardr,WEDNESDAY
337941417883963,Marguerite,Willshear,mwillshears,THURSDAY
6759973527094840550,Angela,Bigglestone,abigglestonet,FRIDAY
5048378602103692,Erv,Lisle,elisleu,TUESDAY
3536831116365250,Jessi,Grimster,jgrimsterv,WEDNESDAY
3580239282960356,Annabelle,De Benedetti,adebenedettiw,THURSDAY
3533227480811883,Mahalia,O'Kelly,mokellyx,TUESDAY
63046797640748658,Julia,O'Kenny,jokennyy,WEDNESDAY
6763240408640441434,Kaylil,Kreutzer,kkreutzerz,FRIDAY
3550436627824984,Allison,Flowerdew,aflowerdew10,THURSDAY
3555287552903748,Rafaela,Bummfrey,rbummfrey11,THURSDAY
3576479890109865,Jeffrey,Lyptrade,jlyptrade12,WEDNESDAY
670928218311746595,Yasmeen,Phillott,yphillott13,FRIDAY
3551878740792581,Reynold,Minichi,rminichi14,THURSDAY
3570780043739144,Clarita,Fries,cfries15,WEDNESDAY
6767042438276927,Findlay,Prew,fprew16,TUESDAY
3532022125308028,Courtney,Ilewicz,cilewicz17,FRIDAY
3533024287715494,Junie,Mealand,jmealand18,THURSDAY
3562892698223520,Mike,Lelievre,mlelievre19,THURSDAY
374622596541028,Goober,Elwill,gelwill1a,MONDAY
4017950689632239,Godart,Wadsworth,gwadsworth1b,FRIDAY
3557900695376287,Tannie,Arnold,tarnold1c,MONDAY
5641824599077507,Ivy,Brunesco,ibrunesco1d,WEDNESDAY
